"LUDF Farm Monitoring and Farm Walk Notes (Wednesday's, 9 am) - 2022/2023 Season",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farm Area,,Date,6-Jun,13-Jun,20-Jun,27-Jun,4-Jul,11-Jul,18-Jul,25-Jul,1-Aug,8-Aug,15-Aug,24-Aug,31-Aug,7-Sep,14-Sep,21-Sep,28-Sep,5-Oct,12-Oct,19-Oct,26-Oct,1-Nov,8-Nov,15-Nov,22-Nov,29-Nov,6-Dec,13-Dec,20-Dec,27-Dec,3-Jan,10-Jan,17-Jan,24-Jan,31-Jan,7-Feb,13-Feb,20-Feb,27-Feb,6-Mar,13-Mar,20-Mar,27-Mar,3-Apr,10-Apr,17-Apr,24-Apr,1-May,8-May,15-May,22-May,29-May
,Grazing ha available to milkers,Ha,,,,,,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,148.38,148.38,148.38,148.38,148.38,148.38,148.38,151.79,151.79,151.79,160,160,152.73,152.73,152.73,152.73,152.73,152.73,152.73,152.73,152.73,152.73,151.72,151.72,151.72,151.72,151.72,151.72,151.72,160
,Re-grassing,Ha,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.62,11.62,11.62,11.62,11.62,11.62,11.62,8.21,8.21,8.21,0,0,7.27,7.27,7.27,7.27,7.27,7.27,7.27,7.27,7.27,7.27,8.28,8.28,8.28,8.28,8.28,8.28,8.28,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stock Numbers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cows currently milking to vat,,,,,,,0,,70,95,203,298,381,430,465,501,523,527,539,541,541,539,540,540,540,539,539,538,537,536,539,537,537,538,539,539,539,534,534,536,534,533,530,530,530,522,525,525,469,442,439,408,404
,Cows currently milking NOT to vat,,,,,,,5,,32,51,74,72,49,38,34,13,7,15,2,0,0,2,1,0,0,0,0,1,2,3,0,2,2,1,0,0,0,2,2,0,2,3,1,1,0,6,3,3,2,2,5,5,5
,Total Cows Milk ,,,,,,,5,,102,146,277,370,430,468,499,519,530,542,541,541,541,541,541,540,540,539,539,539,539,539,539,539,539,539,539,539,539,536,536,536,536,536,531,529,530,528,528,528,471,444,444,413,409
,Once-a-day milking cows,,,,,,,,,70,133,74,72,49,38,34,18,13,15,17,6,8,8,0,4,3,0,4,5,6,3,7,8,14,7,11,11,8,6,6,8,8,6,6,14,12,11,6,4,6,39,42,413,409
,Lame cows current,,,,,,,,,,,,3,7,13,16,5,6,9,17,6,8,8,0,4,3,0,4,5,6,3,7,8,14,7,11,11,8,6,6,6,8,6,6,14,12,11,6,4,6,4,2,9,12
,Dry cows on farm,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,2,1,0,0,3,4,34,38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milk Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Current bulk milk SCC (tgt below 150),SCC,,,,,,,,126,132,167,265,235,157,184,119,143,118,103,105,128,118,115,107,106,97,112,133,123,121,95,123,124,128,125,139,135,139,134,173,162,155,166,159,144,160,158,148,178,187,181,237,207
,Per cow Production,kgMS/cow,,,,,,,,,,,1.7,1.77,1.76,1.81,1.78,1.92,1.94,1.95,2,2.08,1.9,1.96,1.99,2.02,2.02,2.01,1.78,1.82,1.83,1.81,1.9,1.72,1.65,1.61,1.57,1.55,1.55,1.45,1.45,1.45,1.42,1.54,1.52,1.58,1.55,1.47,1.41,1.34,1.38,1.17,1.17,1.01
