"LUDF Farm Monitoring and Farm Walk Notes (Wednesday's, 9 am) - 2023-2024 Season",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farm Area,,Date,5-Jul,12-Jul,19-Jul,26-Jul,2-Aug,9-Aug,16-Aug,23-Aug,30-Aug,6-Sep,13-Sep,20-Sep,27-Sep,4-Oct,11-Oct,18-Oct,25-Oct,1-Nov,8-Nov,15-Nov,22-Nov,29-Nov,6-Dec,13-Dec,20-Dec,27-Dec,3-Jan,10-Jan,17-Jan,24-Jan,31-Jan,7-Feb,14-Feb,21-Feb,28-Feb,6-Mar,13-Mar,20-Mar,27-Mar,3-Apr,10-Apr,17-Apr,24-Apr,1-May,8-May,15-May,22-May,29-May,5-Jun,12-Jun,19-Jun,26-Jun
,Grazing ha available to milkers,Ha,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,153.1,153.1,153.1,153.1,153.1,153.1,160,160,160,152.4,152.4,152.4,152.4,152.4,152.4,152.4,152.4,152.4,160,160,160,160,160,160,160,160,160,160,160,160,,,,
,Re-grassing,Ha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,6.9,6.9,6.9,6.9,6.9,0,0,0,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,0,0,0,0,0,0,0,0,0,0,0,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stock Numbers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cows currently milking to vat,,0,0,0,0,0,144,261,315,416,473,507,517,534,542,545,555,554,553,553,557,554,552,554,557,556,559,556,554,553,551,555,553,546,552,553,551,553,554,554,550,550,541,506,505,461,457,417,0,,,,
,Cows currently milking NOT to vat,,0,2,5,48,80,29,33,59,34,26,8,14,6,9,12,5,6,7,7,2,5,7,5,2,3,0,3,4,5,7,3,4,11,5,3,5,3,2,2,5,5,13,3,4,0,4,3,0,,,,
,Total Cows Milk ,,0,2,5,48,80,173,294,374,450,499,515,531,540,551,557,560,560,560,560,559,559,559,559,559,559,559,559,558,558,558,558,557,557,557,556,556,556,556,556,555,555,554,509,509,461,461,420,0,,,,
,Once-a-day milking cows,,0,2,5,48,80,,,,,92,37,24,16,16,12,10,5,9,7,10,4,6,0,4,4,5,0,4,7,9,12,15,16,4,5,10,7,5,5,9,10,11,6,4,6,4,2,0,,,,
,Lame cows current,,0,0,0,0,0,0,1,1,1,1,3,3,3,7,10,6,5,11,7,10,4,6,0,4,4,5,0,4,7,9,12,15,16,4,5,10,6,4,4,9,10,11,6,4,6,4,2,0,,,,
,Dry cows on farm,,0,0,0,0,0,0,0,0,0,0,0,35,24,11,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,1,1,2,2,2,5,5,33,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milk Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Current bulk milk SCC (tgt below 150),SCC,,,,,,116,150,212,169,140,123,130,128,103,87,94,108,113,127,116,100,110,100,100,98,93,121,142,154,148,143,166,131,140,131,124,174,144,163,173,199,207,163,177,180,179,206,228,,,,
,Per cow Production,kgMS/cow,,,,,,,,,1.87,1.81,1.92,1.94,1.99,2.05,2.07,2.13,2,2.08,2.06,2.04,1.97,1.96,1.92,1.92,1.9,1.8,1.78,1.75,1.65,1.6,1.62,1.61,1.59,1.63,1.66,1.63,1.62,1.6,1.67,1.6,1.51,1.47,1.41,1.49,1.36,1.28,1.24,,,,,
,Protein:Fat ratio,%,,,,,,0.77,0.79,0.78,0.8,0.79,0.76,0.75,0.72,0.75,0.8,0.81,0.8,0.8,0.78,0.81,0.83,0.8,0.84,0.83,0.81,0.82,0.8,0.83,0.83,0.81,0.77,0.76,0.77,0.78,0.78,0.77,0.77,0.79,0.77,0.78,0.78,0.78,0.79,0.8,0.8,0.82,0.81,0.78,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feed Budget,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
